"","time","group"
"s_1",6,0
"s_2",6,1
"s_3",6,1
"s_4",6,0
"s_5",3,1
"s_6",3,0
"s_7",2,1
"s_8",2,0
"s_9",3,0
"s_10",3,1
"s_11",4,0
"s_12",4,1
"s_13",4,0
"s_14",4,1
"s_15",2,0
"s_16",2,1
"s_17",2,0
"s_18",2,1
"s_19",2,1
"s_20",2,0
"s_21",4,0
"s_22",4,1
"s_23",6,1
"s_24",6,0
"s_25",6,0
"s_26",6,1
"s_27",6,1
"s_28",6,0
"s_29",6,0
"s_30",6,1
"s_31",4,0
"s_32",4,1
"s_33",5,0
"s_34",5,1
"s_35",2,0
"s_36",2,1
"s_37",6,0
"s_38",6,1
"s_39",3,1
"s_40",3,0
"s_41",3,1
"s_42",3,0
"s_43",5,1
"s_44",5,0
"s_45",5,0
"s_46",5,1
"s_47",5,0
"s_48",5,1
"s_49",5,1
"s_50",5,0
"s_51",5,1
"s_52",5,0
"s_53",6,0
"s_54",6,1
"s_55",6,1
"s_56",6,0
"s_57",6,1
"s_58",6,0
"s_59",4,1
"s_60",4,0
"s_61",3,1
"s_62",3,0
"s_63",5,0
"s_64",5,1
"s_65",4,0
"s_66",4,1
"s_67",4,1
"s_68",4,0
"s_69",6,1
"s_70",6,0
"s_71",6,0
"s_72",6,1
"s_73",6,1
"s_74",6,0
